Mombo_ShotID,Club,Time,Golfer,Shot,Video,Ball_mph,Club_mph,Smash_Factor,Carry_yds,Total_yds,Roll_yds,Swing_H,Spin_rpm,Height_ft,Time_s,AOA,Spin_Loft,Swing_V,Spin_Axis,Lateral_yds,Shot_Type,FTP,FTT,Dynamic_Loft,Club_Path,Launch_H,Launch_V,Low_Point_ftin,DescentV,Curve_Dist_yds,Lateral_Impact_in,Vertical_Impact_in,Mode,Location,Unnamed_35,Unnamed_36,Unnamed_37,Unnamed_38,Unnamed_39,Unnamed_40,Comment,User1,User2,Exclude
00001,Pitching Wedge,20241031  8:23:00 PM,Dave,1,,93.6,76.5,1.22,120.4,122.1,1.7,1.3 L,5992,56.9,4.8,6.1,36.4,67,13.8 L,16.1 L,Pull/Draw,8.7 L,7.4 L,29.4,1.3 R,4.9 L,18.9,4.6,40.3,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00002,Pitching Wedge,20241031  8:23:00 PM,Dave,2,,71.9,71.3,1.01,76.9,82.1,5.2,3.2 L,7027,28.8,3.3,7.7,38.3,66.1,9.5 L,7.4 L,Pull/Draw,6.4 L,6.1 L,30.1,0.2 R,4.2 L,18.6,5.9,32.2,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00003,Pitching Wedge,20241031  8:23:00 PM,Dave,3,,79.7,66.5,1.2,93.9,99.9,6,4.8 L,5533,38.2,3.9,6.5,36.7,63.4,7.3 L,9.7 L,Pull/Draw,4.6 L,6.2 L,29.9,1.6 L,4.8 L,19.1,5.3,34.7,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00004,Pitching Wedge,20241031  8:23:00 PM,Dave,4,,75.2,62,1.21,83.1,91.6,8.5,4.7 L,4928,28.7,3.3,6.8,35.2,63.8,12.2 L,11.9 L,Pull/Draw,7.5 L,8.8 L,27.7,1.3 L,6.6 L,17.7,4.6,29.9,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00005,Pitching Wedge,20241031  8:23:00 PM,Dave,5,,71.6,68.6,1.04,78.4,83.6,5.2,6.3 L,6300,31.9,3.5,7.1,39.6,67.1,3.3 L,7.3 L,Pull,2.3 L,5.6 L,32.5,3.3 L,4.9 L,20.2,5.2,34,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00006,Pitching Wedge,20241031  8:23:00 PM,Dave,6,,89.5,79.4,1.13,112.9,113.8,0.9,1.8 L,6459,61.6,4.8,5.1,38.8,67.8,2.9 L,3.3 L,Straight,2 L,1.7 L,33.7,0.3 R,1.1 L,21.8,4.3,43.4,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00007,Pitching Wedge,20241031  8:23:00 PM,Dave,7,,100.4,81,1.24,131.3,132,0.7,0.3 L,6703,79.8,5.5,5.5,39.6,65.4,7.9 L,7.7 L,Draw,5.4 L,3.2 L,33.8,2.2 R,1.5 L,21.6,4.4,47,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00008,Pitching Wedge,20241031  8:23:00 PM,Dave,8,,94,77,1.22,121.1,122.1,1,0.9 R,6372,65.8,5,5.7,38.6,62.9,6.7 L,1.6 L,Draw,4.5 L,0.7 L,32.7,3.8 R,0.7 R,20.9,4.6,43.8,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00009,Pitching Wedge,20241031  8:23:00 PM,Dave,9,,87,74,1.18,107.7,109.1,1.5,2.4 L,6287,49.9,4.4,6.3,37,64.9,7 L,7.4 L,Draw,4.5 L,4 L,30.5,0.6 R,2.6 L,19.5,4.9,39.2,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00010,Pitching Wedge,20241031  8:23:00 PM,Dave,10,,87.9,71.1,1.24,110.5,111.8,1.3,3.3 L,6114,56.6,4.7,5.9,39.3,63.8,3.6 L,5.3 L,Straight,2.5 L,2.9 L,33.4,0.4 L,2.1 L,21.2,4.8,41.7,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00011,Pitching Wedge,20241031  8:23:00 PM,Dave,11,,83.8,73.1,1.15,102.1,103.1,1.1,3 L,6563,51.1,4.4,6.3,40.2,64.1,3.6 L,4.2 L,Straight,2.5 L,2.5 L,33.9,0 R,1.7 L,21.4,5.3,40.7,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00012,Pitching Wedge,20241031  8:23:00 PM,Dave,12,,81.7,68.3,1.19,98.1,102.5,4.4,2.7 L,6122,44.6,4.1,6.6,39.1,64.6,6.6 L,6.6 L,Draw,4.5 L,4.1 L,32.2,0.4 R,2.7 L,20.3,5.4,38,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00013,Pitching Wedge,20241031  8:23:00 PM,Dave,13,,92.3,77.8,1.19,117.1,117.7,0.6,2.9 L,6778,71,5.1,4.7,40.5,65,1.3 R,0.5 R,Straight,0.9 R,0.2 R,35.9,0.7 L,0.1 L,23.1,3.8,46.1,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00014,Pitching Wedge,20241031  8:23:00 PM,Dave,14,,90.5,76.6,1.18,113.3,114.1,0.8,5.5 L,6918,57.7,4.7,8.2,41.5,64.3,0.9 R,1.8 L,Straight,0.7 R,0.9 L,33.3,1.6 L,1.1 L,20.1,6.2,42,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00015,Pitching Wedge,20241031  8:23:00 PM,Dave,15,,87.9,72.8,1.21,105.2,113.6,8.5,7.4 L,5245,34,3.8,10.2,35.4,65.7,9.2 L,15.2 L,Pull/Draw,5.7 L,8.5 L,24.8,2.8 L,6.8 L,14.7,8.8,30.3,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00016,Pitching Wedge,20241031  8:23:00 PM,Dave,16,,89,67.8,1.31,97,117.6,20.6,4.5 L,2409,20.9,3,9.3,28.8,67.1,9.3 L,8.5 L,Pull/Draw,4.7 L,5.2 L,19.2,0.6 L,4.1 L,12,6.3,19.8,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00017,7 Iron,20241103  2:56:00 PM,Dave,2,,83.2,76.8,1.08,94.1,115.3,21.3,14.9 L,827,26.4,3,6.6,35.8,63.4,22.3 R,0.3 L,Fade,13.7 R,2.1 R,26.6,11.6 L,1.9 L,16.9,5.2,23.5,,,,Indoor ,2211 Glenmount,,,,,,,,,,
